2020/09/28, 222.11793377134472
2020/10/04, 412.7211522854459
2020/10/08, 562.9929687628646
2020/10/12, 805.5788832353574
2020/10/15, 1056.5298292413845
2020/10/18, 1388.5170182285237
2020/10/20, 1570.9792685537395
2020/10/20, 1675.542162722917
2020/10/22, 1878.3941774111227
2020/10/26, 2205.048658795634
2020/10/27, 2309.1933013881353
2020/10/29, 2497.406510892655
2020/11/02, 2745.6686967629034
2020/11/08, 2943.740693431946
2020/11/10, 3030.6772711554627
2020/11/14, 3200.069159709531
2020/11/16, 3355.8678720216058
2020/11/20, 3518.4631724546775
2020/11/24, 3696.593531450027
2020/11/29, 3785.621367056927
2020/12/02, 3727.0661463221873
2020/12/06, 3545.1267104678177
2020/12/08, 3399.5751617843225
2020/12/12, 3099.68878130712
2020/12/12, 2980.487081954257
2020/12/15, 2764.041891024059
2020/12/16, 2594.650002469991
2020/12/19, 2169.4972747781135
2020/12/20, 2055.1054685570334
2020/12/23, 1708.4794743862085
2020/12/24, 1546.3024255298133
2020/12/28, 1223.8304599120684
2020/12/30, 1089.9899553755213
2021/01/04, 877.2044657412443
2021/01/08, 748.0692914423089
2021/01/12, 648.2117275107448
2021/01/16, 591.7477646593888
2021/01/20, 548.3541635791798
2021/01/25, 503.13071185101035
2021/01/29, 463.13540483129964
2021/02/03, 424.70854122412675
2021/02/07, 393.1828286321197
2021/02/11, 370.5972434915775
2021/02/16, 339.2283752408239
2021/02/20, 313.08765169852995
2021/02/25, 301.5857333399199
2021/03/03, 301.5857333399199
2021/03/07, 300.8886473787925
2021/03/12, 297.1044664469555
2021/03/17, 267.5281049533878
2021/03/22, 251.39554413871429
2021/03/26, 223.1635627130363
2021/03/31, 188.65780763720795
2021/04/05, 158.5436941164844
2021/04/11, 126.70429284196962
2021/04/17, 101.72122991369088
2021/04/22, 90.36868711818079
2021/04/26, 74.16143852195819
2021/05/02, 69.45610828434474
