location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,11174.988281552498,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.010,9875.14276999145,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.025,10079.859553577495,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.050,10255.927281249906,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.100,10458.92209519419,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.150,10595.881732442356,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.200,10704.732910418345,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.250,10798.117528829074,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.300,10881.979802334874,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.350,10959.690696715152,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.400,11033.430736117107,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.450,11104.77507762502,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.500,11174.988281552498,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.550,11245.201485479976,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.600,11316.545826987889,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.650,11390.285866389844,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.700,11467.996760770122,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.750,11551.859034275922,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.800,11645.243652686651,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.850,11754.09483066264,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.900,11891.054467910806,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.950,12094.049281855088,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.975,12270.117009527501,2021-03-29,2021-04-03
HR,1 wk ahead inc case,quantile,0.990,12474.833793113547,2021-03-29,2021-04-03
HR,2 wk ahead inc case,point,NA,12056.428947283595,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.010,6446.939377276067,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.025,7330.395643515193,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.050,8090.216770879166,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.100,8966.24186882989,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.150,9557.291843478759,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.200,10027.039626664193,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.250,10430.04139750157,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.300,10791.949443006879,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.350,11127.311182248191,2021-03-29,2021-04-10
HR,2 wk ahead inc case,quantile,0.400,11445.536677692216,2021-03-29,2021-04-10
