location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,4581.545601724076,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.010,4048.6321582044775,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.025,4132.562383078722,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.050,4204.747006722105,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.100,4287.971254798902,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.150,4344.122259868313,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.200,4388.749298674397,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.250,4427.035324303134,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.300,4461.417358597107,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.350,4493.277437317883,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.400,4523.509536420008,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.450,4552.759442174546,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.500,4581.545601724076,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.550,4610.3317612736055,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.600,4639.581667028144,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.650,4669.813766130269,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.700,4701.673844851044,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.750,4736.055879145018,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.800,4774.341904773754,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.850,4818.968943579838,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.900,4875.11994864925,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.950,4958.344196726046,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.975,5030.52882036943,2021-03-15,2021-03-20
HR,1 wk ahead inc case,quantile,0.990,5114.459045243674,2021-03-15,2021-03-20
HR,2 wk ahead inc case,point,NA,4690.551176480357,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.010,2508.180424983388,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.025,2851.8889017716606,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.050,3147.497153473314,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.100,3488.314535783263,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.150,3718.262405593633,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.200,3901.0176830231003,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.250,4057.805438219122,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.300,4198.605688114436,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.350,4329.078103074362,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.400,4452.883665946054,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.450,4572.6669808145225,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.500,4690.551176480357,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.550,4808.435372146192,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.600,4928.21868701466,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.650,5052.024249886352,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.700,5182.496664846278,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.750,5323.2969147415915,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.800,5480.084669937613,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.850,5662.839947367081,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.900,5892.78781717745,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.950,6233.605199487399,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.975,6529.213451189053,2021-03-15,2021-03-27
HR,2 wk ahead inc case,quantile,0.990,6872.921927977326,2021-03-15,2021-03-27
HR,3 wk ahead inc case,point,NA,4273.810789005083,2021-03-15,2021-04-03
HR,3 wk ahead inc case,quantile,0.010,-200.25600036956985,2021-03-15,2021-04-03
