location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,7522.06492057629,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.010,6647.1179337572985,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.025,6784.916103891206,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.050,6903.430132237572,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.100,7040.069216821657,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.150,7132.258958495029,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.200,7205.528442702742,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.250,7268.387136114379,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.300,7324.836185527622,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.350,7377.144642399067,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.400,7426.780252714919,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.450,7474.803280123744,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.500,7522.06492057629,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.550,7569.326561028836,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.600,7617.349588437662,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.650,7666.985198753513,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.700,7719.293655624959,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.750,7775.742705038201,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.800,7838.601398449839,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.850,7911.870882657551,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.900,8004.060624330923,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.950,8140.699708915007,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.975,8259.213737261374,2021-03-22,2021-03-27
HR,1 wk ahead inc case,quantile,0.990,8397.011907395283,2021-03-22,2021-03-27
HR,2 wk ahead inc case,point,NA,8278.811216881943,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.010,4426.932242086188,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.025,5033.5768529029765,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.050,5555.324685494983,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.100,6156.866521713292,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.150,6562.72394278351,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.200,6885.28655510805,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.250,7162.016554962898,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.300,7410.528647532748,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.350,7640.812137004112,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.400,7859.328649040902,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.450,8070.7459033074865,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.500,8278.811216881943,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.550,8486.876530456399,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.600,8698.293784722984,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.650,8916.810296759773,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.700,9147.093786231137,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.750,9395.605878800987,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.800,9672.335878655835,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.850,9994.898490980375,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.900,10400.755912050594,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.950,11002.297748268902,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.975,11524.045580860908,2021-03-22,2021-04-03
HR,2 wk ahead inc case,quantile,0.990,12130.690191677697,2021-03-22,2021-04-03
HR,3 wk ahead inc case,point,NA,7576.272563381122,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.010,-354.9979435579098,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.025,894.1229508024408,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.050,1968.4358312884551,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.100,3207.0497793139657,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.150,4042.736729713867,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.200,4706.914226076272,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.250,5276.719378469559,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.300,5788.422015887307,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.350,6262.59076839233,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.400,6712.530545456191,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.450,7147.852486876095,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.500,7576.272563381122,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.550,8004.69263988615,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.600,8440.014581306054,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.650,8889.954358369916,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.700,9364.123110874938,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.750,9875.825748292686,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.800,10445.630900685974,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.850,11109.808397048379,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.900,11945.495347448279,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.950,13184.109295473787,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.975,14258.422175959802,2021-03-22,2021-04-10
HR,3 wk ahead inc case,quantile,0.990,15507.543070320155,2021-03-22,2021-04-10
HR,4 wk ahead inc case,point,NA,6171.920034032904,2021-03-22,2021-04-17
HR,4 wk ahead inc case,quantile,0.010,-5314.506405905115,2021-03-22,2021-04-17
HR,4 wk ahead inc case,quantile,0.025,-3505.4727516996736,2021-03-22,2021-04-17
