location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,13345.6396925803,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.010,11793.309666252839,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.025,12037.79103517502,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.050,12248.058499963889,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.100,12490.483420519278,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.150,12654.046363503106,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.200,12784.041005535846,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.250,12895.56483345753,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.300,12995.716677720005,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.350,13088.52228703768,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.400,13176.585734799832,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.450,13261.788139659691,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.500,13345.6396925803,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.550,13429.491245500909,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.600,13514.693650360769,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.650,13602.75709812292,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.700,13695.562707440595,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.750,13795.71455170307,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.800,13907.238379624754,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.850,14037.233021657494,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.900,14200.795964641322,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.950,14443.220885196712,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.975,14653.488349985579,2021-04-12,2021-04-17
HR,1 wk ahead inc case,quantile,0.990,14897.969718907761,2021-04-12,2021-04-17
HR,2 wk ahead inc case,point,NA,11969.564644926051,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.010,6400.490391942425,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.025,7277.581521990246,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.050,8031.9282810787045,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.100,8901.641783007595,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.150,9488.433353784903,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.200,9954.79669256737,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.250,10354.894911463647,2021-04-12,2021-04-24
HR,2 wk ahead inc case,quantile,0.300,10714.195477587798,2021-04-12,2021-04-24
