location,target,type,quantile,value,forecast_date,target_end_date
HR,1 wk ahead inc case,point,NA,2584.7948909493625,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.010,2284.1382859797786,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.025,2331.489646265168,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.050,2372.2144283841776,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.100,2419.1674939939703,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.150,2450.8465044507184,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.200,2476.023977716674,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.250,2497.6240079341355,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.300,2517.021502646414,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.350,2534.9961723019373,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.400,2552.0523760582505,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.450,2568.554450582322,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.500,2584.7948909493625,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.550,2601.0353313164032,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.600,2617.5374058404745,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.650,2634.5936095967877,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.700,2652.568279252311,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.750,2671.9657739645895,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.800,2693.565804182051,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.850,2718.7432774480067,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.900,2750.4222879047547,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.950,2797.375353514547,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.975,2838.100135633557,2021-02-08,2021-02-13
HR,1 wk ahead inc case,quantile,0.990,2885.4514959189464,2021-02-08,2021-02-13
HR,2 wk ahead inc case,point,NA,2302.8549357049333,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.010,1231.4065989246076,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.025,1400.1523885845388,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.050,1545.2830770374612,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.100,1712.6094660899798,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.150,1825.5037863998998,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.200,1915.2286133594412,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.250,1992.2045256406464,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.300,2061.3312739097514,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.350,2125.3875081259744,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.400,2186.1706103243687,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.450,2244.978965138426,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.500,2302.8549357049333,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.550,2360.7309062714407,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.600,2419.539261085498,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.650,2480.322363283892,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.700,2544.378597500115,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.750,2613.50534576922,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.800,2690.4812580504254,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.850,2780.206085009967,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.900,2893.1004053198867,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.950,3060.4267943724053,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.975,3205.5574828253275,2021-02-08,2021-02-20
HR,2 wk ahead inc case,quantile,0.990,3374.303272485259,2021-02-08,2021-02-20
HR,3 wk ahead inc case,point,NA,2165.5950895255246,2021-02-08,2021-02-27
HR,3 wk ahead inc case,quantile,0.010,-101.47230012242017,2021-02-08,2021-02-27
HR,3 wk ahead inc case,quantile,0.025,255.57531827045386,2021-02-08,2021-02-27
